metrica,mercado,p_actual,p_bayes,bayes_lo,bayes_hi,dif,discrepancia,cuota,p_implicita,cuota_justa_actual,cuota_justa_bayes,ev_actual,ev_bayes,veredicto
goles_2t,Over 0.5,0.861784599394031,0.8265021472994171,0.7475396703841308,0.9088492189386369,-0.03528245209461389,False,,,1.16,1.21,,,sin cuota
goles_2t,Under 0.5,0.13821540060596904,0.17349785270058293,0.09115078106136297,0.2524603296158692,0.03528245209461389,False,,,7.24,5.76,,,sin cuota
goles_2t,Over 1.5,0.5882639871345888,0.529999331745295,0.4000278660659671,0.6905218246970573,-0.05826465538929382,True,1.55,0.6451612903225806,1.7,1.89,-0.08819081994138733,-0.1785010357947927,sin valor
goles_2t,Under 1.5,0.41173601286541106,0.47000066825470477,0.3094781753029428,0.5999721339340329,0.05826465538929371,True,2.4,0.4166666666666667,2.43,2.13,-0.011833569123013477,0.12800160381129144,valor solo bayes
goles_2t,Over 2.5,0.3176229261429055,0.2697427388203658,0.1608525863958066,0.42904739074893083,-0.04788018732253968,False,,,3.15,3.71,,,sin cuota
goles_2t,Under 2.5,0.6823770738570943,0.7302572611796343,0.570952609251069,0.8391474136041934,0.04788018732253996,False,,,1.47,1.37,,,sin cuota
goles_2t,Over 3.5,0.13909504290065436,0.11318100986128582,0.05111078906545769,0.2202802532000724,-0.02591403303936854,False,,,7.19,8.84,,,sin cuota
goles_2t,Under 3.5,0.8609049570993456,0.8868189901387141,0.7797197467999274,0.9488892109345423,0.025914033039368567,False,,,1.16,1.13,,,sin cuota
tiros,1 (gana local),0.17255555480580057,0.5207450711883086,0.3083040899307225,0.7032954692237013,0.34818951638250806,True,,,5.8,1.92,,,sin cuota
tiros,X (empate),0.05152029433504703,0.07023057523526148,0.05991266336075276,0.07758891679995528,0.018710280900214447,False,,,19.41,14.24,,,sin cuota
tiros,2 (gana visitante),0.7759241508591525,0.4090243535764299,0.23325170102251822,0.6237469095055652,-0.36689979728272254,True,,,1.29,2.44,,,sin cuota
tiros,Ambos anotan / suman,0.9999963165433319,0.9999976546833881,0.9999924541142605,0.9999997124786625,1.3381400562062495e-06,False,,,1.0,1.0,,,sin cuota
tiros,Over 28.5,0.5731651597664559,0.5177044745002883,0.28425229013305153,0.7283651601754811,-0.05546068526616754,True,,,1.74,1.93,,,sin cuota
tiros,Under 28.5,0.4268348402335441,0.4822955254997115,0.271634839824519,0.7157477098669484,0.055460685266167375,True,,,2.34,2.07,,,sin cuota
tiros,Over 29.5,0.49984612598467937,0.4479955305777101,0.22378713970973857,0.6647400990021621,-0.05185059540696929,True,,,2.0,2.23,,,sin cuota
tiros,Under 29.5,0.5001538740153206,0.5520044694222898,0.3352599009978379,0.7762128602902613,0.051850595406969124,True,,,2.0,1.81,,,sin cuota
tiros,Over 30.5,0.4273444595308618,0.3806885998929185,0.17193943848501503,0.5967816999498169,-0.04665585963794333,False,,,2.34,2.63,,,sin cuota
tiros,Under 30.5,0.5726555404691382,0.6193114001070815,0.40321830005018316,0.8280605615149849,0.046655859637943276,False,,,1.75,1.61,,,sin cuota
tiros,Over 31.5,0.35796373900315676,0.31755990410082596,0.12891515227899164,0.5265363412402881,-0.04040383490233079,False,,,2.79,3.15,,,sin cuota
