liga,metrica,n_partidos,n_equipos,segundos,veredicto,motivos,rhat_max,ess_min,divergencias,bfmi_min,pct_prof_max,ppc_fuera,base,ventaja_local,sigma_ataque,sigma_defensa,rho
seriea,goles_1t,420,23,14.0,OK,todo dentro de rango,1.004923901867513,1189.9226561052712,0,0.7440566089080938,0.0,0,-0.6366463227125564,0.002180090343878521,0.21011386796613885,0.12465059713495205,0.01526307067403392
seriea,goles_2t,420,23,11.2,OK,todo dentro de rango,1.0049081371164925,1241.837771780691,0,0.6987493611176661,0.0,1,-0.38269438996336147,0.07908798254886339,0.25789506999577616,0.09083612835020193,
seriea,tiros,420,23,11.5,OK,todo dentro de rango,1.0048381306504175,1448.3405307844805,0,0.71483743894785,0.0,2,2.4277424223022055,0.2017304650937341,0.18020605908236467,0.17056700444349449,
seriea,tiros_a_puerta,420,23,11.0,OK,todo dentro de rango,1.0043738959780029,991.767862876419,0,0.5604902043293383,0.0,0,1.3588073989563354,0.13058542673576767,0.21581200818953755,0.1334397280543413,
seriea,corners,420,23,12.6,OK,todo dentro de rango,1.0088935334422062,627.8014286115056,0,0.5501331151555485,0.0,2,1.3540967778096746,0.23042335329899902,0.1578645319602449,0.16246276000896664,
seriea,faltas,420,23,13.2,OK,todo dentro de rango,1.00724017673139,1043.344359467479,0,0.6222024024717213,0.0,1,2.509347777134084,-0.03277802923255317,0.07187987187587071,0.10015308231224898,
seriea,amarillas,420,23,11.8,OK,todo dentro de rango,1.0050226079675326,1261.098302235507,0,0.8151869433625478,0.0,2,0.6116644786751622,-0.11648855247681539,0.05863688612899523,0.08146663874358391,
seriea,rojas,420,23,10.0,OK,todo dentro de rango,1.0035431603843596,1962.3218782591782,0,0.9025841818069859,0.0,1,-2.5659777842749545,-0.07204308020539067,0.21115282263857021,0.21398335553567502,
bundesliga,goles,333,21,12.9,OK,todo dentro de rango,1.0059764383681675,1344.1338031522932,0,0.735971897333375,0.0,0,0.3318388486281742,0.2585976255343877,0.2828274073862341,0.08056066861969784,-0.030223672225201826
bundesliga,goles_1t,333,21,12.2,OK,todo dentro de rango,1.0040879527237243,1010.8639027408784,0,0.7668017224664196,0.0,0,-0.5413458176139399,0.3119859973974245,0.2063892951256314,0.09242482263497484,0.055975444071320796
bundesliga,goles_2t,333,21,11.4,OK,todo dentro de rango,1.0039096693917902,981.1712077918714,0,0.7650976651913322,0.0,1,-0.16992247529534427,0.20409385901304541,0.2102257880464415,0.08332299073121593,
bundesliga,tiros,333,21,12.4,OK,todo dentro de rango,1.0045904956240983,1365.4463383766447,0,0.6427025116943007,0.0,2,2.500277589025317,0.22269101743655,0.14820910856739464,0.13083809253614323,
bundesliga,tiros_a_puerta,333,21,11.2,OK,todo dentro de rango,1.0044751030807861,1126.3806563472833,0,0.6820435711624737,0.0,0,1.428785733487157,0.27694846351610974,0.20147862768839514,0.09818785082559554,
bundesliga,corners,333,21,11.8,OK,todo dentro de rango,1.00591496367341,1062.19888417228,0,0.6414975383738263,0.0,3,1.4806553727298697,0.2585507864282714,0.12905492605080848,0.17988400303033222,
bundesliga,faltas,333,21,12.5,OK,todo dentro de rango,1.0038021046714691,1160.1902443161393,0,0.6055028502624769,0.0,0,2.343382021395756,-0.02747438357265086,0.11181159726924744,0.08371116396330854,
bundesliga,amarillas,333,21,11.1,OK,todo dentro de rango,1.005099524230059,1881.7927493985958,0,0.8770267446240747,0.0,1,0.5978551079860844,-0.034477473465405285,0.05681947907056749,0.06895678929328893,
bundesliga,rojas,333,21,10.1,OK,todo dentro de rango,1.0027408087881078,1792.0056504131364,0,0.9321715636266263,0.0,0,-2.645894473879445,-0.06754382138005499,0.21709968702926,0.2173435477937623,
ligue1,goles,342,20,13.4,OK,todo dentro de rango,1.0041583486135612,1190.8502206151509,0,0.7272783022642337,0.0,0,0.23766595333065957,0.1401194525173889,0.18235932649937103,0.08197623073164804,-0.026620490004045528
ligue1,goles_1t,342,20,12.1,OK,todo dentro de rango,1.0026691035282744,1797.681203314636,0,0.894289333611155,0.0,0,-0.5363181139983005,0.06892506121066952,0.11242585951255464,0.10602819002174683,-0.013737588502213363
ligue1,goles_2t,342,20,11.7,OK,todo dentro de rango,1.003281035322965,1250.6925827068878,0,0.8189521298358134,0.0,0,-0.36904280490376573,0.17954051955028394,0.16520152444810768,0.08709605946034836,
ligue1,tiros,342,20,12.4,OK,todo dentro de rango,1.003815592897523,1549.6515180464853,0,0.690527274500695,0.0,2,2.4354982250908344,0.21035697383637297,0.1478411247594207,0.11575758806884755,
ligue1,tiros_a_puerta,342,20,11.7,OK,todo dentro de rango,1.0066817889721777,1122.1712059091883,0,0.674473498631272,0.0,1,1.381347967611562,0.18163504853920973,0.17803215575878698,0.09434076541276733,
ligue1,corners,342,20,12.3,OK,todo dentro de rango,1.0046599098254363,1027.7871949388082,0,0.6248861373240229,0.0,4,1.4437633428439602,0.21321665668170506,0.14094626489958018,0.150964701910472,
ligue1,faltas,342,20,12.4,OK,todo dentro de rango,1.0038683506098252,1260.3301492264113,0,0.6514476181233404,0.0,0,2.471822650525808,-0.013559921775597391,0.12561644285312584,0.0735758081619307,
ligue1,amarillas,342,20,12.9,REVISAR,1 divergencias: subir target_accept a 0.95,1.0031691232927669,1537.0464461407087,1,0.8922823466806041,0.0,1,0.5910727286220915,-0.09467685936252573,0.06589039601445686,0.07098181058895779,
ligue1,rojas,342,20,9.4,OK,todo dentro de rango,1.0035730646186731,2108.5483057103497,0,0.9118425354261481,0.0,0,-2.339797931428256,-0.06440008404934007,0.1861251956534793,0.17763565420873725,
ligamx,goles,236,19,13.3,OK,todo dentro de rango,1.0090952532700725,1174.6302378263642,0,0.7805962040019464,0.0,0,0.1953512025684086,0.23093867419312436,0.10074397802535477,0.13102824473213204,-0.0493562539928177
ligamx,goles_1t,236,19,14.5,OK,todo dentro de rango,1.0028550198448172,1910.1611613764017,0,0.9089358404280502,0.0,0,-0.6321438789701694,0.24566733935387908,0.10967760145325191,0.1149133474410562,-0.049625160179772816
ligamx,goles_2t,236,19,10.4,OK,todo dentro de rango,1.0053300428121703,1599.8817884166112,0,0.7988615130207234,0.0,0,-0.37733836620749894,0.21026660358706392,0.09853028279138759,0.1336560030353611,
ligamx,tiros,236,19,12.0,OK,todo dentro de rango,1.0029166953123139,1612.905134433585,0,0.7152468120740395,0.0,3,2.5365294891635233,0.20483949054681277,0.1479671731055503,0.13484099203402397,
ligamx,tiros_a_puerta,236,19,11.1,OK,todo dentro de rango,1.0074353753451617,1021.1092371554887,0,0.6691295358980209,0.0,0,1.4141287535277316,0.1933034975063295,0.1929995782682562,0.08831432927401786,
ligamx,corners,236,19,11.7,OK,todo dentro de rango,1.0037522629101159,1460.1616452299536,0,0.6642440032857733,0.0,3,1.5042375637542822,0.1889826954830182,0.16102924799998664,0.137017843383138,
ligamx,faltas,236,19,12.8,OK,todo dentro de rango,1.0027507302768635,1094.3591393507518,0,0.695100624495931,0.0,0,2.4694407313171833,0.05817525749242642,0.048413743166345086,0.05345341043796569,
ligamx,amarillas,236,19,11.3,OK,todo dentro de rango,1.0078060937263258,1443.9241512528065,0,0.790910071671036,0.0,0,0.6809100081422487,0.016823334935858344,0.08725528625167242,0.07977492347658093,
ligamx,rojas,236,19,11.2,OK,todo dentro de rango,1.0024887136078595,1871.0030451389032,0,0.8942451592929356,0.0,0,-1.1215785869526307,-0.17376653284636265,0.15363567280433663,0.12226207581674126,
