temporada_txt,jornada_val,fecha_dt,hora_local_txt,hora_utc_txt,equipo_local_txt,equipo_visitante_txt,goles_local_val,goles_visitante_val,goles_local_primer_tiempo_val,goles_local_segundo_tiempo_val,goles_visitante_primer_tiempo_val,goles_visitante_segundo_tiempo_val,goles_total_primer_tiempo_val,goles_total_segundo_tiempo_val,goles_total_partido_val,tiros_local_val,tiros_visitante_val,tiros_a_puerta_local_val,tiros_a_puerta_visitante_val,corners_local_val,corners_visitante_val,faltas_local_val,faltas_visitante_val,amarillas_local_val,amarillas_visitante_val,rojas_local_val,rojas_visitante_val
2025-26,11,22/11/2025,15:30,14:30,Bayern Munich,Freiburg,6,2,2,4,2,0,4,4,8,22,8,8,2,3,5,9,7,1,0,0,0
2025-26,11,22/11/2025,15:30,14:30,Borussia Dortmund,Stuttgart,3,3,2,1,0,3,2,4,6,14,16,6,6,2,4,12,10,1,1,0,0
2025-26,11,22/11/2025,15:30,14:30,Heidenheim,Borussia Monchengladbach,0,3,0,0,1,2,1,2,3,7,16,2,4,4,5,13,12,2,0,0,0
2025-26,11,22/11/2025,15:30,14:30,Wolfsburg,Bayer Leverkusen,1,3,0,1,3,0,3,1,4,21,7,10,3,9,1,12,7,2,1,0,0
2025-26,11,22/11/2025,18:30,17:30,FC Koln,Eintracht Frankfurt,3,4,1,2,2,2,3,4,7,11,11,5,7,3,3,6,5,0,0,0,0
2025-26,11,23/11/2025,15:30,14:30,RB Leipzig,Werder Bremen,2,0,0,2,0,0,0,2,2,22,15,13,6,13,7,5,7,1,2,0,0
2025-26,11,23/11/2025,17:30,16:30,St. Pauli,Union Berlin,0,1,0,0,1,0,1,0,1,12,8,3,3,8,2,10,8,1,1,0,0
2025-26,12,28/11/2025,20:30,19:30,Borussia Monchengladbach,RB Leipzig,0,0,0,0,0,0,0,0,0,8,20,1,4,5,6,9,9,0,3,0,0
2025-26,12,29/11/2025,15:30,14:30,Bayern Munich,St. Pauli,3,1,1,2,1,0,2,2,4,19,10,4,1,10,2,5,8,1,1,0,0
2025-26,12,29/11/2025,15:30,14:30,Hoffenheim,Augsburg,3,0,3,0,0,0,3,0,3,17,14,3,4,7,2,17,9,1,0,0,0
2025-26,12,29/11/2025,15:30,14:30,Union Berlin,Heidenheim,1,2,1,0,0,2,1,2,3,9,10,2,2,5,5,13,10,3,2,0,0
2025-26,12,29/11/2025,15:30,14:30,Werder Bremen,FC Koln,1,1,1,0,0,1,1,1,2,17,10,4,2,4,0,11,11,2,4,1,0
2025-26,12,29/11/2025,18:30,17:30,Bayer Leverkusen,Borussia Dortmund,1,2,0,1,1,1,1,2,3,14,7,4,4,10,3,7,9,3,4,0,0
2025-26,12,30/11/2025,15:30,14:30,Hamburger SV,Stuttgart,2,1,1,1,0,1,1,2,3,9,14,2,3,4,6,16,12,2,4,1,0
2025-26,12,30/11/2025,17:30,16:30,Eintracht Frankfurt,Wolfsburg,1,1,0,1,0,1,0,2,2,15,10,3,3,14,1,7,9,1,4,0,0
2025-26,12,30/11/2025,19:30,18:30,Freiburg,Mainz,4,0,2,2,0,0,2,2,4,23,1,10,1,6,2,9,12,0,2,0,1
2025-26,13,05/12/2025,20:30,19:30,Mainz,Borussia Monchengladbach,0,1,0,0,0,1,0,1,1,8,14,2,5,8,6,12,4,2,1,0,0
2025-26,13,06/12/2025,15:30,14:30,Augsburg,Bayer Leverkusen,2,0,2,0,0,0,2,0,2,13,20,6,2,5,7,12,6,4,3,0,0
2025-26,13,06/12/2025,15:30,14:30,FC Koln,St. Pauli,1,1,0,1,0,1,0,2,2,11,5,8,1,5,4,6,6,0,1,0,0
2025-26,13,06/12/2025,15:30,14:30,Heidenheim,Freiburg,2,1,0,2,1,0,1,2,3,16,16,3,2,8,6,11,10,2,1,0,0
2025-26,13,06/12/2025,15:30,14:30,Stuttgart,Bayern Munich,0,5,0,0,1,4,1,4,5,13,19,1,11,3,4,6,11,2,4,1,0
2025-26,13,06/12/2025,15:30,14:30,Wolfsburg,Union Berlin,3,1,2,1,0,1,2,2,4,4,21,3,6,0,11,13,10,4,1,0,0
2025-26,13,06/12/2025,18:30,17:30,RB Leipzig,Eintracht Frankfurt,6,0,2,4,0,0,2,4,6,16,8,7,2,4,0,9,17,1,2,0,0
2025-26,13,07/12/2025,15:30,14:30,Hamburger SV,Werder Bremen,3,2,0,3,1,1,1,4,5,12,10,6,3,5,3,8,13,1,6,0,0
2025-26,13,07/12/2025,17:30,16:30,Borussia Dortmund,Hoffenheim,2,0,1,1,0,0,1,1,2,8,11,4,3,7,5,7,9,0,2,0,0
2025-26,14,12/12/2025,20:30,19:30,Union Berlin,RB Leipzig,3,1,0,3,0,1,0,4,4,12,9,6,3,4,6,7,8,2,2,0,0
2025-26,14,13/12/2025,15:30,14:30,Eintracht Frankfurt,Augsburg,1,0,0,1,0,0,0,1,1,11,12,4,1,2,6,14,10,2,3,0,0
2025-26,14,13/12/2025,15:30,14:30,Hoffenheim,Hamburger SV,4,1,2,2,0,1,2,3,5,10,14,6,5,3,3,16,10,1,3,0,0
2025-26,14,13/12/2025,15:30,14:30,Borussia Monchengladbach,Wolfsburg,1,3,1,0,3,0,4,0,4,14,11,4,6,6,3,6,8,0,1,0,0
2025-26,14,13/12/2025,15:30,14:30,St. Pauli,Heidenheim,2,1,1,1,0,1,1,2,3,8,20,5,7,4,11,6,15,2,3,1,0
2025-26,14,13/12/2025,18:30,17:30,Bayer Leverkusen,FC Koln,2,0,0,2,0,0,0,2,2,17,6,6,4,8,3,8,6,2,1,0,0
2025-26,14,14/12/2025,15:30,14:30,Freiburg,Borussia Dortmund,1,1,0,1,1,0,1,1,2,21,9,6,4,6,0,11,10,3,2,0,1
2025-26,14,14/12/2025,17:30,16:30,Bayern Munich,Mainz,2,2,1,1,1,1,2,2,4,24,5,11,2,7,0,7,8,2,2,0,0
2025-26,14,14/12/2025,19:30,18:30,Werder Bremen,Stuttgart,0,4,0,0,2,2,2,2,4,9,24,3,12,0,9,11,6,2,0,1,0
2025-26,15,19/12/2025,20:30,19:30,Borussia Dortmund,Borussia Monchengladbach,2,0,1,1,0,0,1,1,2,10,6,4,1,6,4,15,13,2,1,0,0
2025-26,15,20/12/2025,15:30,14:30,Augsburg,Werder Bremen,0,0,0,0,0,0,0,0,0,14,9,6,0,6,11,10,20,3,4,0,0
2025-26,15,20/12/2025,15:30,14:30,FC Koln,Union Berlin,0,1,0,0,0,1,0,1,1,13,11,2,3,3,6,9,18,2,5,1,0
2025-26,15,20/12/2025,15:30,14:30,Hamburger SV,Eintracht Frankfurt,1,1,1,0,1,0,2,0,2,9,9,3,3,5,5,8,12,0,0,0,0
2025-26,15,20/12/2025,15:30,14:30,Stuttgart,Hoffenheim,0,0,0,0,0,0,0,0,0,10,4,3,1,4,2,10,17,3,2,0,0
2025-26,15,20/12/2025,15:30,14:30,Wolfsburg,Freiburg,3,4,1,2,1,3,2,5,7,13,15,6,8,2,6,16,8,1,1,0,0
2025-26,15,20/12/2025,18:30,17:30,RB Leipzig,Bayer Leverkusen,1,3,1,0,2,1,3,1,4,19,15,7,8,2,8,10,12,1,2,0,0
2025-26,15,21/12/2025,15:30,14:30,Mainz,St. Pauli,0,0,0,0,0,0,0,0,0,13,5,1,1,9,5,5,9,1,1,0,0
2025-26,15,21/12/2025,17:30,16:30,Heidenheim,Bayern Munich,0,4,0,0,2,2,2,2,4,8,23,1,11,0,6,8,6,0,0,0,0
2025-26,16,09/01/2026,20:30,19:30,Eintracht Frankfurt,Borussia Dortmund,3,3,1,2,1,2,2,4,6,12,16,6,6,2,5,14,6,3,3,0,0
2025-26,16,10/01/2026,15:30,14:30,Freiburg,Hamburger SV,2,1,0,2,0,1,0,3,3,20,10,7,5,0,3,13,11,3,5,0,1
2025-26,16,10/01/2026,15:30,14:30,Heidenheim,FC Koln,2,2,2,0,1,1,3,1,4,14,21,6,9,5,4,9,7,2,1,0,0
2025-26,16,10/01/2026,15:30,14:30,Union Berlin,Mainz,2,2,0,2,1,1,1,3,4,17,9,5,6,2,1,9,8,2,0,0,0
2025-26,16,10/01/2026,18:30,17:30,Bayer Leverkusen,Stuttgart,1,4,0,1,4,0,4,1,5,16,10,4,7,5,3,13,11,4,2,0,0
2025-26,16,11/01/2026,15:30,14:30,Borussia Monchengladbach,Augsburg,4,0,3,1,0,0,3,1,4,12,17,7,2,2,2,16,9,0,1,0,0
2025-26,16,11/01/2026,17:30,16:30,Bayern Munich,Wolfsburg,8,1,2,6,1,0,3,6,9,16,8,10,3,6,2,7,6,0,1,0,0
2025-26,17,13/01/2026,18:30,17:30,Stuttgart,Eintracht Frankfurt,3,2,2,1,1,1,3,2,5,20,12,11,5,10,2,8,15,2,2,0,0
2025-26,17,13/01/2026,20:30,19:30,Borussia Dortmund,Werder Bremen,3,0,1,2,0,0,1,2,3,18,6,8,3,3,3,14,8,2,0,0,0
2025-26,17,13/01/2026,20:30,19:30,Mainz,Heidenheim,2,1,1,1,0,1,1,2,3,13,15,6,4,4,1,11,10,2,2,0,0
2025-26,17,14/01/2026,18:30,17:30,Wolfsburg,St. Pauli,2,1,1,1,1,0,2,1,3,13,9,5,4,7,4,10,9,1,2,0,0
2025-26,17,14/01/2026,20:30,19:30,FC Koln,Bayern Munich,1,3,1,0,1,2,2,2,4,8,19,3,8,4,6,3,4,0,0,0,0
2025-26,17,14/01/2026,20:30,19:30,Hoffenheim,Borussia Monchengladbach,5,1,4,1,0,1,4,2,6,18,7,10,5,6,2,16,10,1,1,0,0
2025-26,17,14/01/2026,20:30,19:30,RB Leipzig,Freiburg,2,0,0,2,0,0,0,2,2,21,3,7,1,7,2,12,16,0,4,0,0
2025-26,17,15/01/2026,20:30,19:30,Augsburg,Union Berlin,1,1,1,0,0,1,1,1,2,9,16,5,3,3,3,9,18,1,0,0,1
2025-26,18,16/01/2026,20:30,19:30,Werder Bremen,Eintracht Frankfurt,3,3,1,2,1,2,2,4,6,13,8,4,4,4,1,8,15,1,4,0,0
2025-26,18,17/01/2026,15:30,14:30,Borussia Dortmund,St. Pauli,3,2,1,2,0,2,1,4,5,10,9,6,5,5,5,9,11,3,1,0,0
