temporada_txt,jornada_val,fecha_dt,hora_local_txt,hora_utc_txt,equipo_local_txt,equipo_visitante_txt,goles_local_val,goles_visitante_val,goles_local_primer_tiempo_val,goles_local_segundo_tiempo_val,goles_visitante_primer_tiempo_val,goles_visitante_segundo_tiempo_val,goles_total_primer_tiempo_val,goles_total_segundo_tiempo_val,goles_total_partido_val,tiros_local_val,tiros_visitante_val,tiros_a_puerta_local_val,tiros_a_puerta_visitante_val,corners_local_val,corners_visitante_val,faltas_local_val,faltas_visitante_val,amarillas_local_val,amarillas_visitante_val,rojas_local_val,rojas_visitante_val
2025-26,14,06/12/2025,15:00,14:00,Sassuolo,Fiorentina,3,1,2,1,1,0,3,1,4,13,9,5,1,7,1,15,15,2,3,0,0
2025-26,14,06/12/2025,18:00,17:00,Inter,Como,4,0,1,3,0,0,1,3,4,11,15,7,3,7,4,16,13,1,2,0,0
2025-26,14,06/12/2025,20:45,19:45,Hellas Verona,Atalanta,3,1,2,1,0,1,2,2,4,12,12,7,5,5,5,14,7,2,1,0,0
2025-26,14,07/12/2025,12:30,11:30,Cremonese,Lecce,2,0,0,2,0,0,0,2,2,11,9,4,1,5,5,15,12,1,2,0,0
2025-26,14,07/12/2025,15:00,14:00,Cagliari,AS Roma,1,0,0,1,0,0,0,1,1,15,6,8,2,4,1,18,16,2,1,0,1
2025-26,14,07/12/2025,18:00,17:00,Lazio,Bologna,1,1,1,0,1,0,2,0,2,16,13,9,6,7,3,13,18,4,3,1,0
2025-26,14,07/12/2025,20:45,19:45,Napoli,Juventus,2,1,1,1,0,1,1,2,3,9,5,4,2,9,0,6,15,2,1,0,0
2025-26,14,08/12/2025,15:00,14:00,Pisa,Parma,0,1,0,0,1,0,1,0,1,14,9,2,2,6,0,15,7,2,2,1,0
2025-26,14,08/12/2025,18:00,17:00,Udinese,Genoa,1,2,0,1,1,1,1,2,3,23,12,6,6,6,2,16,12,1,0,0,0
2025-26,14,08/12/2025,20:45,19:45,Torino,AC Milan,2,3,2,0,1,2,3,2,5,8,17,4,6,2,4,16,7,2,1,0,0
2025-26,15,12/12/2025,20:45,19:45,Lecce,Pisa,1,0,0,1,0,0,0,1,1,21,5,3,0,12,1,17,6,2,1,0,0
2025-26,15,13/12/2025,15:00,14:00,Torino,Cremonese,1,0,1,0,0,0,1,0,1,18,10,6,3,6,6,20,13,1,2,0,0
2025-26,15,13/12/2025,18:00,17:00,Parma,Lazio,0,1,0,0,0,1,0,1,1,19,15,5,5,4,4,14,8,2,1,0,2
2025-26,15,13/12/2025,20:45,19:45,Atalanta,Cagliari,2,1,1,1,0,1,1,2,3,17,8,8,1,5,4,13,15,1,2,0,0
2025-26,15,14/12/2025,12:30,11:30,AC Milan,Sassuolo,2,2,1,1,1,1,2,2,4,13,8,5,3,7,3,12,12,1,3,0,0
2025-26,15,14/12/2025,15:00,14:00,Fiorentina,Hellas Verona,1,2,0,1,1,1,1,2,3,20,13,4,3,9,4,10,22,1,5,0,0
2025-26,15,14/12/2025,15:00,14:00,Udinese,Napoli,1,0,0,1,0,0,0,1,1,18,7,5,0,1,3,16,9,1,0,0,0
2025-26,15,14/12/2025,18:00,17:00,Genoa,Inter,1,2,0,1,2,0,2,1,3,5,18,3,8,1,6,10,20,2,3,0,0
2025-26,15,14/12/2025,20:45,19:45,Bologna,Juventus,0,1,0,0,0,1,0,1,1,11,13,4,3,3,4,10,11,3,1,1,0
2025-26,15,15/12/2025,20:45,19:45,AS Roma,Como,1,0,0,1,0,0,0,1,1,14,13,4,1,6,3,16,8,3,3,0,0
